,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Tenet,2020,7.9,69.0,69653,,150
1,Joker,2019,8.5,59.0,856260,335.45,122
2,Knives Out,2019,7.9,82.0,379180,165.36,130
3,Inception,2010,8.8,74.0,2003862,292.58,148
4,The Peanut Butter Falcon,2019,7.6,70.0,51688,13.12,97
5,Interstellar,2014,8.6,74.0,1450256,188.02,169
6,Hamilton,2020,8.7,90.0,37890,,160
7,Once Upon a Time... In Hollywood,2019,7.6,83.0,507755,142.5,161
8,The Dark Knight,2008,9.0,84.0,2242591,534.86,152
9,Jojo Rabbit,2019,7.9,58.0,254380,0.35,108
10,The Gentlemen,2019,7.9,51.0,179609,,113
11,Avengers: Endgame,2019,8.4,78.0,755585,858.37,181
12,Parasite,2019,8.6,96.0,471861,53.37,132
13,The Goonies,1985,7.8,62.0,237417,61.5,114
14,Dunkirk,2017,7.9,94.0,531933,188.37,106
15,The Shawshank Redemption,1994,9.3,80.0,2279620,28.34,142
16,The Dark Knight Rises,2012,8.4,78.0,1481122,448.14,164
17,The Prestige,2006,8.5,66.0,1156300,53.09,130
18,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,625341,317.58,152
19,1917,2019,8.3,78.0,363640,159.23,119
20,The Godfather,1972,9.2,100.0,1573274,134.97,175
21,Jurassic Park,1993,8.1,68.0,846327,402.45,127
22,Ford v Ferrari,2019,8.1,81.0,252561,117.62,152
23,Little Women,2019,7.8,91.0,122652,108.1,135
24,The Notebook,2004,7.8,53.0,508358,81.0,123
25,Get Out,2017,7.7,85.0,472664,176.04,104
26,The Wolf of Wall Street,2013,8.2,75.0,1142048,116.9,180
27,Batman Begins,2005,8.2,70.0,1278593,206.85,140
28,Titanic,1997,7.8,75.0,1023445,659.33,194
29,Memento,2000,8.4,80.0,1099358,25.54,113
30,Dil Bechara,2020,8.8,,101849,,101
31,A Star Is Born,2018,7.7,88.0,318742,215.29,136
32,Pulp Fiction,1994,8.9,94.0,1780740,107.93,154
33,Watchmen,2009,7.6,56.0,491313,107.51,162
34,The Matrix,1999,8.7,73.0,1632862,171.48,136
35,Goodfellas,1990,8.7,90.0,991883,46.84,146
36,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1620363,315.54,178
37,Gone with the Wind,1939,8.1,97.0,284090,198.68,238
38,The Silence of the Lambs,1991,8.6,85.0,1234629,130.74,118
39,Fight Club,1999,8.8,66.0,1808006,37.03,139
40,Gladiator,2000,8.5,67.0,1308609,187.71,155
41,Pride & Prejudice,2005,7.8,82.0,247839,38.41,129
42,Avengers: Infinity War,2018,8.4,68.0,796958,678.82,149
43,Mad Max: Fury Road,2015,8.1,90.0,856830,154.06,120
44,Django Unchained,2012,8.4,81.0,1318308,162.81,165
45,The Irishman,2019,7.9,94.0,304808,7.0,209
46,The Shining,1980,8.4,66.0,869878,44.02,146
47,Se7en,1995,8.6,65.0,1402561,100.13,127
48,Inglourious Basterds,2009,8.3,69.0,1230384,120.54,153
49,No Country for Old Men,2007,8.1,91.0,832029,74.28,122
50,Gone Girl,2014,8.1,79.0,833817,167.77,149
51,Zodiac,2007,7.7,78.0,444211,33.08,157
52,Blade Runner 2049,2017,8.0,81.0,441123,92.05,164
53,Nightcrawler,2014,7.9,76.0,449443,32.38,117
54,Portrait of a Lady on Fire,2019,8.1,95.0,50130,,122
55,Back to the Future,1985,8.5,87.0,1027744,210.61,116
56,The Big Lebowski,1998,8.1,71.0,714149,17.5,117
57,Scarface,1983,8.3,65.0,721602,45.6,170
58,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,336236,190.24,117
59,Guardians of the Galaxy,2014,8.0,76.0,1023575,333.18,121
60,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,743581,381.01,130
61,Apocalypse Now,1979,8.4,94.0,591461,83.47,147
62,Schindler's List,1993,8.9,94.0,1183645,96.9,195
63,Harry Potter and the Goblet of Fire,2005,7.7,81.0,530686,290.01,157
64,The Hobbit: An Unexpected Journey,2012,7.8,58.0,746129,303.0,169
65,Ferris Bueller's Day Off,1986,7.8,61.0,313965,70.14,103
66,Thor: Ragnarok,2017,7.9,74.0,564784,315.06,130
67,Forrest Gump,1994,8.8,82.0,1756133,330.25,142
68,The Departed,2006,8.5,85.0,1160088,132.38,151
69,Prisoners,2013,8.1,70.0,581433,61.0,153
70,Moana,2016,7.6,81.0,261046,248.76,107
71,American Psycho,2000,7.6,64.0,473472,15.07,101
72,Stand by Me,1986,8.1,75.0,355914,52.29,89
73,Alien,1979,8.4,89.0,769151,78.9,117
74,The Green Mile,1999,8.6,61.0,1112831,136.8,189
75,Call Me by Your Name,2017,7.9,93.0,199495,18.1,132
76,Shutter Island,2010,8.2,63.0,1096434,128.01,138
77,Taxi Driver,1976,8.3,94.0,703578,28.26,114
78,Léon: The Professional,1994,8.5,64.0,1007966,19.5,110
79,The Searchers,1956,7.9,94.0,78508,,119
80,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,890204,34.4,108
81,There Will Be Blood,2007,8.2,93.0,503145,40.22,158
82,Avatar,2009,7.8,83.0,1101390,760.51,162
83,The Princess Bride,1987,8.1,77.0,385345,30.86,98
84,Mission: Impossible - Fallout,2018,7.7,86.0,281115,220.16,147
85,The Usual Suspects,1995,8.5,77.0,969258,23.34,106
86,Saving Private Ryan,1998,8.6,91.0,1204240,216.54,169
87,Catch Me If You Can,2002,8.1,75.0,800819,164.62,141
88,Airplane!,1980,7.7,78.0,208747,83.4,88
89,Wonder,2017,8.0,66.0,134535,132.42,113
90,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,1001419,305.41,143
91,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1604693,377.85,201
92,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,550419,389.81,136
93,Home Alone,1990,7.6,63.0,451702,285.76,103
94,Gravity,2013,7.7,96.0,755873,274.09,91
95,Green Book,2018,8.2,69.0,342295,85.08,130
96,American Beauty,1999,8.3,84.0,1049290,130.1,122
97,Heat,1995,8.2,76.0,562564,67.44,170
98,The Breakfast Club,1985,7.9,66.0,349045,45.88,97
99,Dazed and Confused,1993,7.6,78.0,161565,7.99,102
100,Requiem for a Dream,2000,8.3,68.0,748609,3.64,102
101,Ghostbusters,1984,7.8,71.0,347372,238.63,105
102,Baby Driver,2017,7.6,86.0,422801,107.83,113
103,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,590926,258.37,161
104,Good Will Hunting,1997,8.3,70.0,837707,138.43,126
105,Love Actually,2003,7.6,55.0,415833,59.7,135
106,The Godfather: Part II,1974,9.0,90.0,1099148,57.3,202
107,The King's Speech,2010,8.0,88.0,628452,138.8,118
108,Mulan,1998,7.6,71.0,245206,120.62,88
109,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,891346,112.0,133
110,V for Vendetta,2005,8.2,62.0,1010016,70.51,132
111,The Revenant,2015,8.0,76.0,685208,183.64,156
112,Boogie Nights,1997,7.9,85.0,233868,26.4,155
113,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88.0,411922,54.51,115
114,Spirited Away,2001,8.6,96.0,627011,10.06,125
115,A Clockwork Orange,1971,8.3,77.0,740558,6.21,136
116,The Avengers,2012,8.0,69.0,1241454,623.28,143
117,Bohemian Rhapsody,2018,8.0,49.0,433759,216.43,134
118,Jaws,1975,8.0,87.0,535925,260.0,124
119,Whiplash,2014,8.5,88.0,691023,13.09,106
120,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,533397,249.36,142
121,American History X,1998,8.5,62.0,1014485,6.72,119
122,Raiders of the Lost Ark,1981,8.4,85.0,865746,248.16,115
123,The Fifth Element,1997,7.7,52.0,426047,63.54,126
124,Captain America: Civil War,2016,7.8,75.0,644449,408.08,147
125,The Martian,2015,8.0,80.0,740997,228.43,144
126,Iron Man,2008,7.9,79.0,920952,318.41,126
127,"The Good, the Bad and the Ugly",1966,8.8,90.0,672714,6.1,178
128,Deadpool 2,2018,7.7,66.0,460796,324.59,119
129,Ex Machina,2014,7.7,78.0,462813,25.44,108
130,True Romance,1993,7.9,59.0,202623,12.28,119
131,Stardust,2007,7.6,66.0,250304,38.63,127
132,Kingsman: The Secret Service,2014,7.7,60.0,579518,128.26,129
133,Spotlight,2015,8.1,93.0,407019,45.06,129
134,Searching,2018,7.6,71.0,133083,26.02,102
135,The Perks of Being a Wallflower,2012,8.0,67.0,451843,17.74,103
136,Psycho,1960,8.5,97.0,587032,32.0,109
137,The Hateful Eight,2015,7.8,68.0,499264,54.12,168
138,Marriage Story,2019,8.0,94.0,227532,2.0,137
139,La La Land,2016,8.0,94.0,488326,151.1,128
140,Deliverance,1972,7.7,80.0,96806,7.06,109
141,Zombieland,2009,7.6,73.0,510947,75.59,88
142,Deadpool,2016,8.0,65.0,882282,363.07,108
143,The Social Network,2010,7.7,95.0,608941,96.96,120
144,The Grand Budapest Hotel,2014,8.1,88.0,687889,59.1,99
145,Blade Runner,1982,8.1,84.0,678214,32.87,117
146,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1204439,322.74,121
147,Room,2015,8.1,86.0,357457,14.68,118
148,Toy Story 4,2019,7.8,84.0,189310,434.04,100
149,Aliens,1986,8.3,84.0,639695,85.16,137
150,300,2006,7.6,52.0,722640,210.61,117
151,Her,2013,8.0,90.0,524203,25.57,126
152,Almost Famous,2000,7.9,90.0,247676,32.53,122
153,The Terminator,1984,8.0,84.0,784616,38.4,107
154,Ocean's Eleven,2001,7.7,74.0,504620,183.42,116
155,The Thing,1982,8.1,57.0,360290,13.78,109
156,Logan,2017,8.1,77.0,627773,226.28,137
157,The Blues Brothers,1980,7.9,60.0,178997,57.23,133
158,Donnie Darko,2001,8.0,88.0,728525,1.48,113
159,Snatch,2000,8.3,55.0,766784,30.33,102
160,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,458244,301.96,153
161,Terminator 2: Judgment Day,1991,8.5,75.0,975282,204.84,137
162,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,463255,295.98,146
163,The Big Short,2015,7.8,81.0,349071,70.26,130
164,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1450161,342.55,179
165,Full Metal Jacket,1987,8.3,76.0,658416,46.36,116
166,The Girl with the Dragon Tattoo,2011,7.8,71.0,411875,102.52,158
167,Platoon,1986,8.1,92.0,373502,138.53,120
168,Drive,2011,7.8,78.0,558845,35.06,100
169,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1132421,290.48,124
170,2001: A Space Odyssey,1968,8.3,84.0,588108,56.95,149
171,The Lion King,1994,8.5,88.0,917570,422.78,88
172,Casino,1995,8.2,73.0,453036,42.44,178
173,Tombstone,1993,7.8,50.0,123179,56.51,130
174,Sicario,2015,7.6,82.0,360769,46.89,121
175,12 Angry Men,1957,8.9,96.0,668802,4.36,96
176,Big Fish,2003,8.0,58.0,408500,66.26,125
177,Oldboy,2003,8.4,77.0,501255,0.71,101
178,Once Upon a Time in America,1984,8.4,,302457,5.32,229
179,About Time,2013,7.8,55.0,289966,15.32,123
180,Sin City,2005,8.0,74.0,733235,74.1,124
181,The Truman Show,1998,8.1,90.0,910882,125.62,103
182,X-Men: First Class,2011,7.7,65.0,637034,146.41,131
183,The Imitation Game,2014,8.0,73.0,668257,91.13,114
184,Rogue One: A Star Wars Story,2016,7.8,65.0,538804,532.18,133
185,Arrival,2016,7.9,81.0,575900,100.55,116
186,Into the Wild,2007,8.1,73.0,560852,18.35,148
187,Dawn of the Planet of the Apes,2014,7.6,79.0,406723,208.55,130
188,Scent of a Woman,1992,8.0,59.0,254003,63.9,156
189,Casablanca,1942,8.5,100.0,510131,1.02,102
190,The Hangover,2009,7.7,73.0,706078,277.32,100
191,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,174054,4.0,100
192,Fargo,1996,8.1,85.0,601125,24.61,98
193,Hacksaw Ridge,2016,8.1,71.0,418555,67.21,139
194,Being John Malkovich,1999,7.7,90.0,305171,22.86,113
195,Braveheart,1995,8.3,68.0,941878,75.6,178
196,3:10 to Yuma,2007,7.7,76.0,284139,53.61,122
197,Hot Fuzz,2007,7.8,81.0,454269,23.64,121
198,Superbad,2007,7.6,76.0,511578,121.46,113
199,The Exorcist,1973,8.0,81.0,354342,232.91,122
200,Die Hard,1988,8.2,72.0,768094,83.01,132
201,Hidden Figures,2016,7.8,74.0,193429,169.61,127
202,Atonement,2007,7.8,85.0,243754,50.93,123
203,The Help,2011,8.0,62.0,419659,169.71,146
204,Coco,2017,8.4,81.0,352751,209.73,105
205,Reservoir Dogs,1992,8.3,79.0,896824,2.83,99
206,Zootopia,2016,8.0,78.0,421335,341.27,108
207,Inside Man,2006,7.6,76.0,331732,88.51,129
208,Star Trek,2009,7.9,82.0,571905,257.73,127
209,A Bronx Tale,1993,7.8,80.0,125127,17.27,121
210,Come and See,1985,8.3,,54315,,142
211,X-Men: Days of Future Past,2014,8.0,75.0,650526,233.92,132
212,Kill Bill: Vol. 1,2003,8.1,69.0,977579,70.1,111
213,12 Years a Slave,2013,8.1,96.0,624831,56.67,134
214,Ratatouille,2007,8.0,96.0,624952,206.45,111
215,Midnight in Paris,2011,7.7,81.0,380229,56.82,94
216,Apocalypto,2006,7.8,68.0,286303,50.87,139
217,What We Do in the Shadows,2014,7.7,76.0,150746,3.33,86
218,Warrior,2011,8.2,71.0,427694,13.66,140
219,Black Swan,2010,8.0,79.0,686312,106.95,108
220,Lost in Translation,2003,7.7,89.0,403747,44.59,102
221,Children of Men,2006,7.9,84.0,456551,35.55,109
222,Moneyball,2011,7.6,87.0,354756,75.61,133
223,Mulholland Drive,2001,8.0,85.0,313098,7.22,147
224,The Handmaiden,2016,8.1,84.0,104683,2.01,145
225,The Sixth Sense,1999,8.1,64.0,894620,293.51,107
226,The Wizard of Oz,1939,8.0,100.0,366359,2.08,102
227,Your Name.,2016,8.4,79.0,178667,5.02,106
228,A Beautiful Mind,2001,8.2,72.0,827872,170.74,135
229,Casino Royale,2006,8.0,80.0,570246,167.45,144
230,The Invisible Guest,2016,8.1,,127403,,106
231,Shrek,2001,7.8,84.0,600278,267.67,90
232,Howl's Moving Castle,2004,8.2,80.0,319342,4.71,119
233,Magnolia,1999,8.0,77.0,284770,22.46,188
234,Indiana Jones and the Last Crusade,1989,8.2,65.0,677166,197.17,127
235,Blue Is the Warmest Colour,2013,7.7,89.0,135461,2.2,180
236,Primal Fear,1996,7.7,47.0,182142,56.12,129
237,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,566640,42.34,119
238,Inside Out,2015,8.1,94.0,592803,356.46,95
239,The Untouchables,1987,7.9,79.0,272962,76.27,119
240,Unforgiven,1992,8.2,85.0,367473,101.16,130
241,Edward Scissorhands,1990,7.9,74.0,437393,56.36,105
242,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,845250,936.66,138
243,The Incredibles 2,2018,7.6,80.0,239609,608.58,118
244,Skyfall,2012,7.7,81.0,620440,304.36,143
245,Life Is Beautiful,1997,8.6,59.0,605876,57.6,116
246,E.T. the Extra-Terrestrial,1982,7.8,91.0,362886,435.11,115
247,The Deer Hunter,1978,8.1,86.0,304483,48.98,183
248,Wind River,2017,7.7,73.0,195599,33.8,107
249,12 Monkeys,1995,8.0,74.0,568850,57.14,129
250,The Intouchables,2011,8.5,57.0,736944,13.18,112
251,Pan's Labyrinth,2006,8.2,98.0,607145,37.63,118
252,The Florida Project,2017,7.6,92.0,90077,5.9,111
253,The Sound of Music,1965,8.0,63.0,198618,163.21,172
254,The Last Samurai,2003,7.7,55.0,392324,111.11,154
255,The Curious Case of Benjamin Button,2008,7.8,70.0,575844,127.51,166
256,Once Upon a Time in the West,1968,8.5,80.0,295358,5.32,165
257,Boyz n the Hood,1991,7.8,76.0,121789,57.5,112
258,Captain America: The Winter Soldier,2014,7.7,70.0,719282,259.77,136
259,Trainspotting,1996,8.1,83.0,623571,16.5,93
260,The Incredibles,2004,8.0,90.0,642924,261.44,115
261,Minority Report,2002,7.6,80.0,498961,132.07,145
262,Halloween,1978,7.8,87.0,222499,47.0,91
263,Edge of Tomorrow,2014,7.9,71.0,586292,100.21,113
264,Chinatown,1974,8.2,92.0,286913,29.2,130
265,Amélie,2001,8.3,69.0,690641,33.23,122
266,The Godfather: Part III,1990,7.6,60.0,350580,66.67,162
267,The Pianist,2002,8.5,85.0,708176,32.57,150
268,Dances with Wolves,1990,8.0,72.0,235237,184.21,181
269,Rush,2013,8.1,74.0,423045,26.95,123
270,Little Miss Sunshine,2006,7.8,80.0,432114,59.89,101
271,Princess Mononoke,1997,8.4,76.0,331212,2.38,134
272,The Crow,1994,7.6,71.0,163683,50.69,102
273,Hell or High Water,2016,7.6,88.0,198365,26.86,102
274,Capernaum,2018,8.4,75.0,53667,1.66,126
275,Crash,2004,7.7,66.0,415233,54.58,112
276,Training Day,2001,7.7,69.0,381631,76.63,122
277,City of God,2002,8.6,79.0,686010,7.56,130
278,Predator,1987,7.8,45.0,364814,59.74,107
279,Brokeback Mountain,2005,7.7,87.0,317148,83.04,134
280,Argo,2012,7.7,86.0,563321,136.03,120
281,Cast Away,2000,7.8,73.0,510948,233.63,143
282,Before Sunrise,1995,8.1,77.0,263018,5.54,101
283,Dead Poets Society,1989,8.1,79.0,411354,95.86,128
284,Blow,2001,7.6,52.0,236636,52.99,124
285,Vertigo,1958,8.3,100.0,352992,3.2,128
286,Remember the Titans,2000,7.8,48.0,194409,115.65,113
287,The Count of Monte Cristo,2002,7.8,61.0,126898,54.23,131
288,Walk the Line,2005,7.8,72.0,229605,119.52,136
289,Silver Linings Playbook,2012,7.7,81.0,651249,132.09,122
290,Toy Story,1995,8.3,95.0,864754,191.8,81
291,Seven Samurai,1954,8.6,98.0,308067,0.27,207
292,"O Brother, Where Art Thou?",2000,7.7,69.0,279592,45.51,107
293,Goldfinger,1964,7.7,87.0,168816,51.08,110
294,Sherlock Holmes,2009,7.6,57.0,574154,209.03,128
295,Tangled,2010,7.7,71.0,396205,200.82,100
296,True Grit,2010,7.6,80.0,305111,171.24,110
297,Some Like It Hot,1959,8.2,98.0,238150,25.0,121
298,The Fugitive,1993,7.8,87.0,262293,183.88,130
299,Taken,2008,7.8,51.0,558070,145.0,90
300,Mary Poppins,1964,7.8,88.0,154370,102.27,139
301,"Monsters, Inc.",2001,8.0,79.0,795198,289.92,92
302,Indiana Jones and the Temple of Doom,1984,7.6,57.0,438207,179.87,118
303,Incendies,2010,8.3,80.0,142658,6.86,131
304,Up,2009,8.2,88.0,911698,293.0,96
305,Saw,2004,7.6,46.0,372060,56.0,103
306,Fried Green Tomatoes,1991,7.7,64.0,65502,82.42,130
307,Million Dollar Baby,2004,8.1,86.0,623457,100.49,132
308,The Birds,1963,7.7,90.0,167368,11.4,119
309,Fear and Loathing in Las Vegas,1998,7.6,41.0,254917,10.68,118
310,Black Hawk Down,2001,7.7,74.0,358277,108.64,144
311,Finding Nemo,2003,8.1,90.0,928231,380.84,100
312,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,524665,3.9,107
313,The Last of the Mohicans,1992,7.7,76.0,145774,75.51,112
314,Donnie Brasco,1997,7.7,76.0,272082,41.91,127
315,The Game,1997,7.8,61.0,336801,48.32,129
316,Beauty and the Beast,1991,8.0,95.0,410597,218.97,84
